county,loc_1
Galway,"MA, Brookline (last)"
Cork,"NY, NYC (1857)"
Cork,"NY, NYC (1857)"
Cork,"NY, NYC (1857)"
Dublin,"OH, Cincinatti (1855)"
Cork,"MA, Abington (1864)"
Derry,"TX, Millican / Brazos Co. (last)"
Cork,*Australia
Antrim,
Wicklow,
Wicklow,
Mayo,"IL, Chicago"
Kerry,"NY, Binghampton, Broome Co. (Oct-64)"
Clare,IL (1860)
Cork,
Galway,"MA, Boston (1861)"
Kings Co.,"TN, Nashville"
Roscommon,
Roscommon,
Roscommon,
Roscommon,
Cork,"MA, Boston"
Galway,
Waterford,"MA, Boston (1862)"
,"AL, Mobile (10/64)"
Tipperary,NC (1857)
Meath,"MA, Boston (02/65)"
Clare,NY
Meath,"MA, Boston (02/65)"
Wexford,"PA, Philadelphia"
Limerick,
Galway,"Australia, Sidney"
Cork,"MA, New Bedford (left 1858)"
Cork City,
Cork City,
Waterford,
Mayo,"CT, Hartford (1861)"
Tipperary,
Limerick,"CT, Old Hartford (1860) "
Mayo,
Carlow,"Nova Scotia, Halifax - left 17 or 18 yrs ago"
Carlow,"NY, New York (1851)"
Tyrone,"LA, Franklin, St. Marys Parish (1861)"
Tipperary,
Cork,"MD, Evansville"
Kerry,"MA, Boston (left 1-May-49)"
Dublin,"OH, Cincinatti (1855)"
Meath,"NJ, West Hoboken (1852)"
Carlow,"Canada, Vancouvers Island, British Possesion (1862)"
Antrim,Honduras
,"PA, Milltown or Milford, West Chester (11/64)"
kerry,"mo,st.louis,'57"
kerry,"ma,brookline/brookland,'55"
kerry,"oh,cincinnati,4/60"
Clare,"IL, Peatown (fall 64)"
"*England, Athol St, Liverpool","IL, Quincy(last)"
"*England, Athol St, Liverpool","IL, Quincy(last)"
Kerry,"MO, St. Louis (1860)"
Cork,
Kerry,"NY, Piermont (59)"
"*Wales, Dowlais","MA, Boston (1866)"
Longford,"OH, Cincinnati (1861)"
Cork,"IL, La. Salle county"
Cork,NY
,
,NY
Queens Co.,
Kerry,"NY, Booklyn"
Wexford,"MA, Boston"
Roscommon,
Clare,
,"MO, St. Louis"
Mayo,"England, Crosbie, Liverpool"
May,"England, Crosbie, Liverpool"
,
Wicklow,"RI, Providence (1843)"
Cork,
Cork,
Galway,
Cork,
Kerry,"South Australia, Victoria (1862)"
Waterford,
Westmeath,"NY, Rochester(54)"
Dublin,
Meath,"MA, Boston (1851)"
Cork,NY
Kerry,"ME, bangor (1847)"
Wexford,
,"NY, 211 Water St. (1838)"
Kilkenny,"Nova Scotia, Halifax (1857)"
Galway,"KY, Covington"
Galway,
Limerick,NY
Langford,"England, Lancashire, Hyde"
Waterford,"MA, Boston (1851"
Waterford,"MA, Boston "
Waterford,"MA, Boston"
,"WI, Madison (55/56)"
Limerick,
Kerry,"MA, 26 High St., Boston (09/59)"
Queens,"OH, Columbus(50-53)"
Queens,
Cork,"VA, Richmond "
Queens,
"*Canada, Prince Edward Island","MA, Boston"
Tipperary,"MA, Boston"
Cork,Canada (supposed)
Kilkenny,"CT, Hartford"
Tyrone,NY (1863)
Louth,
Cork,"Canada, Quebec (38)"
Mayo,"NY, New York City"
Limerick,
Leitrim,"MA, Burlington"
Kerry,
Galway,
"*Scotland, Glasgow","PA, Philadelphia (09/66)"
"*Scotland, Glasgow","PA, Philadelphia (09/66)"
Cork,*England
Fermanagh,"AL, Fort Deposit, Lownds"
,
*ireland,"wi,milwaukee & beloit rr"
galway,"oh,franklin co"
kerry,
roscommon,"ns,'61"
,"nfld,st.john's"
sligo,nyc
monaghan,"pa,pittsburgh"
wexford,"que,quebec,'34"
,"ma,southbridge/golden vill."
louth,"nyc,'27"
tipperary,"ma,boston,'48"
roscommon,"md,baltimore,'48"
antrim,nyc
limerick,
cavan,"la,new orleans"
donegal,"ct,new haven, 11/47"
westmeath,"pa,pottsville 6/49"
sligo,"nyc,11/51"
tipperary,"la,new orleans"
kilkenny,"al,mobile"
,"ny,deposit"
,"ny,rochester"
cavan,
cork,"me,eastport"
roscommon,"ma,worcester,8/1/54"
limerick,quebec
limerick,
limerick,
cork,"ga,savannah"
kildare,"ma,boston"
meath,
tipperary,"nyc,'50"
kilkenny,
queens,"ny,buffalo"
tipperary,"nyc,'53"
mayo,
kildare,"ny,troy"
kildare,"tn,memphis"
monaghan,"ny,delaware co."
clare,"ma,greenfield,2/61,c/m.geary"
waterford,"ma,e.boston,'59"
clare,"ny,w.troy"
Armagh,"NY, Brooklyn"
Cavan,"NY, Brooklyn (left 1854)"
kildare,"nyc,'34"
clare,"*eng,liverpool,'46"
limerick,
,"pa,phila."
cork,"sc,charleston"
cork,
kilkenny,"que,montreal,'58"
,nyc
waterford,"us,new england states"
tyrone,"ma,boston & lowell"
tipperary,"vt,green mts."
cork,"la,new orleans, '41"
meath,"ma,taunton,'38"
