recid,mm,dd,yy,county,loc_1
38575,4,25,68,Galway,"MA, Brookline (last)"
34452,12,23,65,Cork,"NY, NYC (1857)"
34453,12,23,65,Cork,"NY, NYC (1857)"
34454,12,23,65,Cork,"NY, NYC (1857)"
35259,5,26,66,Dublin,"OH, Cincinatti (1855)"
37781,11,16,67,Cork,"MA, Abington (1864)"
39120,8,8,68,Derry,"TX, Millican / Brazos Co. (last)"
34455,12,23,65,Cork,*Australia
34510,12,30,65,Antrim,
41135,11,27,69,Wicklow,
41136,11,27,69,Wicklow,
34776,3,3,66,Mayo,"IL, Chicago"
34881,3,17,66,Kerry,"NY, Binghampton, Broome Co. (Oct-64)"
35309,6,9,66,Clare,IL (1860)
35314,6,9,66,Cork,
35537,7,21,66,Galway,"MA, Boston (1861)"
34757,2,17,66,Kings Co.,"TN, Nashville"
37986,12,14,67,Roscommon,
37987,12,14,67,Roscommon,
37988,12,14,67,Roscommon,
37989,12,14,67,Roscommon,
38439,3,7,68,Cork,"MA, Boston"
41070,11,13,69,Galway,
33438,4,29,65,Waterford,"MA, Boston (1862)"
33478,5,13,65,,"AL, Mobile (10/64)"
33940,9,2,65,Tipperary,NC (1857)
34331,11,24,65,Meath,"MA, Boston (02/65)"
33693,7,1,65,Clare,NY
34306,11,18,65,Meath,"MA, Boston (02/65)"
36900,5,18,67,Wexford,"PA, Philadelphia"
38840,5,30,68,Limerick,
37541,10,12,67,Galway,"Australia, Sidney"
33485,5,13,65,Cork,"MA, New Bedford (left 1858)"
33919,8,26,65,Cork City,
33920,8,26,65,Cork City,
41167,12,4,69,Waterford,
36384,1,5,67,Mayo,"CT, Hartford (1861)"
35615,8,4,66,Tipperary,
33765,7,22,65,Limerick,"CT, Old Hartford (1860) "
38354,2,22,68,Mayo,
40688,8,28,69,Carlow,"Nova Scotia, Halifax - left 17 or 18 yrs ago"
33424,4,29,65,Carlow,"NY, New York (1851)"
33734,7,15,65,Tyrone,"LA, Franklin, St. Marys Parish (1861)"
34066,9,30,65,Tipperary,
34278,11,4,65,Cork,"MD, Evansville"
34960,3,31,66,Kerry,"MA, Boston (left 1-May-49)"
35258,5,26,66,Dublin,"OH, Cincinatti (1855)"
36723,4,13,67,Meath,"NJ, West Hoboken (1852)"
36769,3,30,67,Carlow,"Canada, Vancouvers Island, British Possesion (1862)"
38986,7,11,68,Antrim,Honduras
34777,3,3,66,,"PA, Milltown or Milford, West Chester (11/64)"
27346,12,29,60,kerry,"mo,st.louis,'57"
27347,12,29,60,kerry,"ma,brookline/brookland,'55"
27348,12,29,60,kerry,"oh,cincinnati,4/60"
39179,8,1,68,Clare,"IL, Peatown (fall 64)"
38458,3,14,68,"*England, Athol St, Liverpool","IL, Quincy(last)"
38459,3,14,68,"*England, Athol St, Liverpool","IL, Quincy(last)"
34197,10,14,65,Kerry,"MO, St. Louis (1860)"
35796,9,1,66,Cork,
38214,1,25,68,Kerry,"NY, Piermont (59)"
37229,8,31,67,"*Wales, Dowlais","MA, Boston (1866)"
33911,8,26,65,Longford,"OH, Cincinnati (1861)"
37687,7,13,67,Cork,"IL, La. Salle county"
36919,5,18,67,Cork,NY
35637,8,18,66,,
37547,10,5,67,,NY
34305,11,18,65,Queens Co.,
36563,2,16,67,Kerry,"NY, Booklyn"
37769,10,26,67,Wexford,"MA, Boston"
36320,12,1,66,Roscommon,
33422,4,29,65,Clare,
35335,6,16,66,,"MO, St. Louis"
33452,5,6,65,Mayo,"England, Crosbie, Liverpool"
